Code du domaine fonctionnel;Intitulé du domaine fonctionnel;Désignation du domaine fonctionnel Niv 1;Désignation du groupe de domaine fonctionnel ;Remarque ;Description;;;;;;
109RI;ACT REL INTERNAT;GPEDFUDS;Groupe DF 109 Rech phys nucleaire;Exécution;Réaliser des actions de relations internationales dans le cadre de la recherche;;;;;;
109SRCH;REAL PREST RECH;GPEDFUDS;Groupe DF 109 Rech phys nucleaire;Exécution;Réaliser des prestations de service (UB Recherche);;;;;;
109SVALO;REAL PREST RECH VALO;GPEDFUDS;Groupe DF 109 Rech phys nucleaire;Exécution;Réaliser des prestations de service (Valorisation de la Recherche));;;;;;
110;Rech univ en sc terr;LOLF_CUMUL;Groupe DF 110 Rech Sc de la Terre;Budget;;;;;;;
110ADM;ADM UNITES RECHERCHE;GPEDFUDS;Groupe DF 110 Rech Sc de la Terre;Exécution;Administration et fonctionnement des unités de recherche;;;;;;
110COM;COM EVT SCIENTIFIQUES;GPEDFUDS;Groupe DF 110 Rech Sc de la Terre;Exécution;Communication et événements scientifiques;;;;;;
110PRCH;REAL PROG RECHERCHE;GPEDFUDS;Groupe DF 110 Rech Sc de la Terre;Exécution;Réaliser des programmes de recherche;;;;;;
110PVALO;REAL PROG RECH VALO;GPEDFUDS;Groupe DF 110 Rech Sc de la Terre;Exécution;Réaliser des programmes de recherche valorisée;;;;;;
110RI;ACT REL INTERNAT;GPEDFUDS;Groupe DF 110 Rech Sc de la Terre;Exécution;Réaliser des actions de relations internationales dans le cadre de la recherche;;;;;;
110SRCH;REAL PREST RECH;GPEDFUDS;Groupe DF 110 Rech Sc de la Terre;Exécution;Réaliser des prestations de service (UB Recherche);;;;;;
110SVALO;REAL PREST RECH VALO;GPEDFUDS;Groupe DF 110 Rech Sc de la Terre;Exécution;Réaliser des prestations de service (Valorisation de la Recherche));;;;;;
111;Rech univ en sc homm;LOLF_CUMUL;Groupe DF 111 Rech Sc de l'homme;Budget;;;;;;;
111ADM;ADM UNITES RECHERCHE;GPEDFUDS;Groupe DF 111 Rech Sc de l'homme;Exécution;Administration et fonctionnement des unités de recherche;;;;;;
111COM;COM EVT SCIENTIFIQUES;GPEDFUDS;Groupe DF 111 Rech Sc de l'homme;Exécution;Communication et événements scientifiques;;;;;;
111PRCH;REAL PROG RECHERCHE;GPEDFUDS;Groupe DF 111 Rech Sc de l'homme;Exécution;Réaliser des programmes de recherche;;;;;;
