Groupe1;Groupe2;Perimetre;CFParent;CF;Label;Societe
Composantes;ECP;1010;ECP;ECP1;ECP-LOG IMMO ET SECU;1010
Composantes;ECP;1010;ECP;ECP2;ECP-PIL ET LOG COMP;1010
Composantes;ECP;1010;ECP;ECP3;ECP-FORM DN;1010
Composantes;ECP;1010;ECP3;ECP3CPI;ECP-FORM CPI;1010
Composantes;ECP;1010;ECP3;ECP3DP1;ECP-DEPART GC-SP;1010
Composantes;ECP;1010;ECP3;ECP3DP2;ECP-LANGUES;1010
Composantes;ECP;1010;ECP3;ECP3DP3;ECP-CHIMIE ORGA;1010
Composantes;ECP;1010;ECP3;ECP3DP4;ECP-CHIMIE ANA;1010
Composantes;ECP;1010;ECP3;ECP3DP5;ECP-MATERIAUX;1010
Composantes;ECP;1010;ECP3;ECP3DP6;ECP-POLYMERES;1010
Composantes;ECP;1010;ECP3;ECP3DP7;ECP-PROJETS IND;1010
Composantes;ECP;1010;ECP3;ECP3ING;ECP-INGENIEUR;1010
Composantes;EDU;1010;CPE;EDU;FAC SCES EDUCATION;1010
Composantes;EDU;1010;EDU;EDU1;EDU-LOG IMMO ET SECU;1010
Composantes;EDU;1010;EDU;EDU2;EDU-PIL ET LOG COMP;1010
Composantes;EDU;1010;EDU;EDU3;EDU-FORM DN;1010
Composantes;EDU;1010;EDU3;EDU3LP1;EDU-LP ATC;1010
Composantes;EDU;1010;EDU3;EDU3LP2;EDU-LP FORM ACC;1010
Composantes;EDU;1010;EDU;EDU7TEMP;EDU-PROJET TEMPUS;1010
Composantes;EMS;1010;CPE;EMS;ECOLE DE MANAGEMENT;1010
Composantes;EMS;1010;EMS;EMS1;EMS-LOG IMMO ET SECU;1010
Composantes;EMS;1010;EMS;EMS2;EMS-PIL ET LOG COMP;1010
Composantes;EMS;1010;EMS2;EMS2CO;EMS-COMMUNICATION;1010
Composantes;EMS;1010;EMS;EMS3;EMS-FORM DN;1010
Composantes;EMS;1010;EMS;EMS4;EMS-DU EM;1010
Composantes;EMS;1010;EMS4;EMS4PGE;EMS-PGE;1010
Composantes;EMS;1010;EMS;EMS7;EMS-SOUTIEN ENS;1010
Composantes;EMS;1010;EMS;EMS7A;EMS-SOUTIEN RECH;1010
Composantes;EMS;1010;EMS;EMS8;EMS-BIBLIOTHEQUE;1010
Composantes;EOT;1010;CPE;EOT;EOST;1010
Composantes;EOT;1010;EOT;EOT1;EOT-LOG IMMO ET SECU;1010
Composantes;EOT;1010;EOT;EOT2;EOT-PIL ET LOG COMP;1010
Composantes;EOT;1010;EOT2;EOT2CO;EOT-COMMUNICATION;1010
Composantes;EOT;1010;EOT2;EOT2ME;EOT-ATEL MEC;1010
Composantes;EOT;1010;EOT2;EOT2PI;EOT-PILOTAGE;1010
Composantes;EOT;1010;EOT2;EOT2RI;EOT-RELAT INTERN;1010
Composantes;EOT;1010;EOT2;EOT2RS;EOT-INFO ET RESEAU;1010
Composantes;EOT;1010;EOT2;EOT2VEH;EOT-VEHICULES;1010
Composantes;EOT;1010;EOT;EOT3;EOT-FORM DN;1010
Composantes;EOT;1010;EOT3;EOT3ING;EOT-DIPL ING;1010
Composantes;EOT;1010;EOT3;EOT3LC;EOT-LICENCE STUE;1010
Composantes;EOT;1010;EOT3;EOT3MR11;EOT-MR SC TERR;1010
Composantes;EOT;1010;EOT3;EOT3MR12;EOT-MR ISIE;1010
Composantes;EOT;1010;EOT;EOT5;EOT-FORM NON DIPLOM;1010
Composantes;EOT;1010;EOT;EOT6;EOT-COLLECTIONS;1010
Composantes;EOT;1010;EOT;EOT8;EOT-BIBLIOTHEQUES;1010
Composantes;EPE;1010;CPE;EPE;ESPE;1010
Composantes;EPE;1010;EPE;EPE1;EPE-LOG IMMO ET SECU;1010
Composantes;EPE;1010;EPE;EPE2;EPE-PIL ET LOG COM;1010
Composantes;EPE;1010;EPE;EPE3;EPE-COM FORM DN;1010
Composantes;ESB;1010;CPE;ESB;ESBS;1010
